 id  |         name          | ghn_district_code |     province      | type | ghn_support_type 
-----+-----------------------+-------------------+-------------------+------+------------------
   1 | A Lưới                | 3309              | Thừa Thiên - Huế  |    3 |                3
   2 | An Biên               | 5409              | Kiên Giang        |    3 |                3
   3 | An Dương              | 0310              | Hải Phòng         |    2 |                3
   4 | An Khê                | 3805              | Gia Lai           |    3 |                3
   5 | An Lão                | 0307              | Hải Phòng         |    3 |                3
   6 | An Lão                |                   | Bình Định         |    3 |                 
   7 | An Minh               | 5410              | Kiên Giang        |    3 |                3
   8 | An Nhơn               | 3710              | Bình Định         |    3 |                3
   9 | An Phú                | 5103              | An Giang          |    3 |                3
  10 | Anh Sơn               | 2913              | Nghệ An           |    3 |                3
  11 | Ayun Pa               | 3810              | Gia Lai           |    3 |                3
  12 | Ân Thi                | 2203              | Hưng Yên          |    3 |                3
  13 | Ba Bể                 | 1106              | Bắc Kạn           |    3 |                3
  14 | Ba Chẽ                | 1709              | Quảng Ninh        |    3 |                3
  15 | Ba Đình               | 1A01              | Hà Nội            |    1 |                3
  16 | Ba Đồn                | 3108              | Quảng Bình        |    3 |                3
  17 | Ba Tơ                 | 3512              | Quảng Ngãi        |    3 |                3
  18 | Ba Tri                | 5607              | Bến Tre           |    3 |                3
  19 | Ba Vì                 | 1B17              | Hà Nội            |    3 |                3
  20 | Bà Rịa                | 5202              | Bà Rịa - Vũng Tàu |    1 |                3
  21 | Bá Thước              |                   | Thanh Hóa         |    3 |                 
  22 | Bác Ái                | 4505              | Ninh Thuận        |    3 |                3
  23 | Bạc Liêu              | 6001              | Bạc Liêu          |    1 |                3
  24 | Bạch Long Vĩ          |                   | Hải Phòng         |    3 |                 
  25 | Bạch Thông            | 1103              | Bắc Kạn           |    3 |                3
  26 | Bảo Lạc               | 0602              | Cao Bằng          |    3 |                3
  27 | Bảo Lâm               | 0612              | Cao Bằng          |    3 |                3
  28 | Bảo Lâm               | 4211              | Lâm Đồng          |    3 |                3
  29 | Bảo Lộc               | 4202              | Lâm Đồng          |    3 |                3
  30 | Bảo Thắng             |                   | Lào Cai           |    3 |                 
  31 | Bảo Yên               | 0807              | Lào Cai           |    3 |                3
  32 | Bát Xát               | 0803              | Lào Cai           |    2 |                2
  33 | Bàu Bàng              | 4408              | Bình Dương        |    3 |                3
  34 | Bắc Bình              | 4703              | Bình Thuận        |    3 |                3
  35 | Bắc Giang             | 1801              | Bắc Giang         |    1 |                3
  36 | Bắc Hà                | 0808              | Lào Cai           |    3 |                3
  37 | Bắc Kạn               | 1101              | Bắc Kạn           |    1 |                3
  38 | Bắc Mê                |                   | Hà Giang          |    3 |                 
  39 | Bắc Ninh              | 1901              | Bắc Ninh          |    1 |                3
  40 | Bắc Quang             | 0510              | Hà Giang          |    3 |                3
  41 | Bắc Sơn               | 1005              | Lạng Sơn          |    3 |                3
  42 | Bắc Tân Uyên          | 4409              | Bình Dương        |    3 |                3
  43 | Bắc Trà My            |                   | Quảng Nam         |    3 |                 
  44 | Bắc Từ Liêm           | 0110              | Hà Nội            |    2 |                3
  45 | Bắc Yên               |                   | Sơn La            |    3 |                 
  46 | Bến Cát               | 4402              | Bình Dương        |    3 |                3
  47 | Bến Cầu               | 4607              | Tây Ninh          |    3 |                3
  48 | Bến Lức               | 4908              | Long An           |    2 |                3
  49 | Bến Tre               | 5601              | Bến Tre           |    1 |                3
